id,authorships.author.display_name,authorships.author.id,authorships.author.orcid,authorships.countries,authorships.institutions.display_name,authorships.institutions.id,authorships.is_corresponding,best_oa_location.license,cited_by_count,corresponding_institution_ids,display_name,doi,funders.display_name,fwci,is_retracted,language,open_access.is_oa,open_access.oa_status,primary_location.source.display_name,primary_location.source.id,primary_location.source.issn_l,primary_location.source.type,primary_topic.display_name,publication_date,publication_year,type
https://openalex.org/W2947879458,Martin Kenward|Kevin D. Dorfman,https://openalex.org/A5045370444|https://openalex.org/A5080268173,|https://orcid.org/0000-0003-0065-5157,|,,,True|False,,0,,Data from: Brownian Dynamics Simulations of Single-Stranded DNA Hairpins,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,DNA and Nucleic Acid Chemistry,2013-07-22,2013,dataset
https://openalex.org/W2948002504,David Levinson,https://openalex.org/A5084766858,https://orcid.org/0000-0002-4563-2963,,,,True,public-domain,0,,"Accessibility measures to population, employment and labor by auto and transit for the period of 1995, 2000, 2005, 2010 for the Twin Cities region",https://doi.org/10.13020/6vbg-6h30,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Urban Transport and Accessibility,2018-11-09,2018,dataset
https://openalex.org/W2948039966,Xiaolan Li|Charles M. Schroeder|Kevin D. Dorfman,https://openalex.org/A5101992958|https://openalex.org/A5064479674|https://openalex.org/A5080268173,https://orcid.org/0000-0003-3656-2569|https://orcid.org/0000-0001-6023-2274|https://orcid.org/0000-0003-0065-5157,||,,,True|False|False,,0,,Data from: Modeling the stretching of wormlike chains in the presence of excluded volume,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Cellular Mechanics and Interactions,2015-01-01,2015,dataset
https://openalex.org/W2948164298,Zewei Song|L. E. Hanson|Linda L. Kinkel,https://openalex.org/A5031328842|https://openalex.org/A5109868738|https://openalex.org/A5007596364,https://orcid.org/0000-0002-0606-6946||https://orcid.org/0000-0002-5331-5589,||,,,True|False|False,,0,,Special crop research grand (SCRG) - MnDRIVE potato biocontrol 2014 experiment,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Potato Plant Research,2017-10-05,2017,dataset
https://openalex.org/W2948190986,Scott P. White|Kevin D. Dorfman|C. Daniel Frisbie,https://openalex.org/A5081833348|https://openalex.org/A5080268173|https://openalex.org/A5071975512,https://orcid.org/0000-0001-9396-0067|https://orcid.org/0000-0003-0065-5157|https://orcid.org/0000-0002-4735-2228,||,,,True|False|False,,0,,Data from: Label-free DNA sensing platform with low-voltage electrolyte-gated transistor,,,,False,en,False,closed,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Analytical Chemistry and Sensors,2015-01-01,2015,dataset
https://openalex.org/W2948214182,Armin Rashidi|Adam Herman|Jinhua Wang|Bruce R. Blazar|Daniel J. Weisdorf,https://openalex.org/A5086374296|https://openalex.org/A5028458306|https://openalex.org/A5100339645|https://openalex.org/A5058268746|https://openalex.org/A5070132319,https://orcid.org/0000-0002-9384-272X|https://orcid.org/0000-0001-7463-9462|https://orcid.org/0000-0001-5124-4230|https://orcid.org/0000-0002-9608-9841|https://orcid.org/0000-0001-8078-8579,||||,,,True|False|False|False|False,public-domain,0,,Alpha-defensin gene single nucleotide polymorphism shapes the gut microbiota,https://doi.org/10.13020/9wn7-9142,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Gut microbiota and health,2019-04-24,2019,dataset
https://openalex.org/W2948235750,Jacqueline D Hamilton|E.J. Bauer|V.W. Chandler|Julia R. Steenberg|Amie E Staley,https://openalex.org/A5035387248|https://openalex.org/A5014453591|https://openalex.org/A5058852051|https://openalex.org/A5074726976|https://openalex.org/A5036097513,||||,||||,,,True|False|False|False|False,,0,,"C-46, Geologic Atlas of Kandiyohi County, Minnesota",,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Archaeology and Natural History,2019-01-01,2019,dataset
https://openalex.org/W2948723252,Anna Underhill,https://openalex.org/A5013706004,https://orcid.org/0000-0003-4101-7303,,,,True,cc-by-nc-nd,0,,High-resolution grape cluster images and color-based segmentations for population GE1025 in 2017 and 2018,,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Horticultural and Viticultural Research,2019-04-18,2019,dataset
https://openalex.org/W2948786805,Samantha Porter,https://openalex.org/A5043460079,https://orcid.org/0000-0003-1064-307X,,,,True,,0,,Three Dimensional Models and Two Dimensional Cross Sections of Châtelperronian and Protoaurignacian Lithic Cores from the sites of Les Cottés and Roc de Combe,https://doi.org/10.13020/d6vd6k,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Pleistocene-Era Hominins and Archaeology,2014-06-01,2014,dataset
https://openalex.org/W2951527522,Yusuke Minato|Anthony D. Baughn,https://openalex.org/A5068106322|https://openalex.org/A5073957782,https://orcid.org/0000-0002-0888-8564|https://orcid.org/0000-0003-1188-4238,|,,,True|False,,0,,TnSeq of Himar1 transposon library of Mycobacterium tuberculosis H37Rv grown in vitro (on Mtb YM rich or Mtb minimal).,https://doi.org/10.13020/c37f-nv41,,,False,en,True,green,University of Minnesota Digital Conservancy (University of Minnesota),https://openalex.org/S4306402521,,repository,Mycobacterium research and diagnosis,2019-06-14,2019,dataset
